subject,year,question_text,option_a,option_b,option_c,option_d,correct_option
English,1994,"From the way winter describes the typical condition of the poor in the developing countries, one could conclude that?",rural poverty is a disease,the poor have no hope,rural poverty is caused by the rich,the problems of the poor temporary,B
English,1994,"When the writer says'.........literally millions of work places', he wants the reader to?",take the million figure literally,appreciate he need for numerous workplaces,realize that the millio figure is a mere exaggeration,appreciate the size of the work force,B
English,1994,What is the point made by the writer about solving the problem of unemployment in developing countries?,use appropriate intermediate technology,a few people should produce a great deal,stop migration to cities,ctreate more work places,A
English,1994,Gossip appeals to people because,It is entertaining but could be deadly,Human beings take delight in passing and acquiring information,It provides avenues for idle talk,It is not destructive in the type of information passed,B
English,1994,"‘Grow gossipy’ as used in the passage, means the area",Cultivates and control gossip,Is a rumor mill,Is ruined by gossip,Engage in fruitful talk,B
English,1994,When gossip ‘degenerates beyond the bounds of propriety and good taste’ it becomes,Harmful,Ruthless,Irritating,Astonishing,A
English,1994,"In the passage, ‘such efforts notwithstanding’ refers to",Attempts at curbing gossip,The establishment of ducking stool,Rumor-control centers,Law enacted against gossip,A
English,1994,Which of the title best sum up this passage?,Gossip: A thing of the past,Gossip: A societal evil,Gossip and be damned,Gossip: The good and the bad,D
English,1994,"According to the passage, the difference between the developing countries and the developed ones is that while the former have","A modern sector, the latter does not","Two conflicting sectors, the latter have one","Higher rural unemployment, the latter have higher urban unemployment","Appropriate intermediate technology, the latter adopt inappropriate one",B
English,1994,Which of the following statements best explains the meaning of the phrase ‘reverse this trend’ as used in the text,Return to the former state of affairs,Reappraise the programme,Improve the situation,Make the rich become poorer,C
English,1994,"From the way the writer describes the typical condition of the poor in developing countries, one could conclude that",Rural poverty is a disease,The poor have no hope,Rural poverty is caused by rich,The problems of the poor are temporary,B
English,1994,When the writer say ‘ …. literally millions of work places’ he wants the reader to,Take the million figure literally,Appreciate numerous workplaces,Realize that the million figure is mere exaggeration,Appreciate the size of the work force,B
English,1994,What is the point made by the writer about solving the problem of unemployment in developing countries?,Use appropriate intermediate technology,A few people should produce a great deal,Stop migration to cities,Create more work places,A
English,1994,"According to the author, electioneering campaign is approach",Best used in politics,Used in pre-colonial politics,For choosing kings or emirs,Currently in used,D
English,1994,"From the passage, it is obvious that women participate in politics",On equal basis with men,As leaders of men,To a limited extent,As chiefs and regents,C
English,1994,‘Political engineering’ in the passage means,Playing of politics,Maneuvering I politics,Studying of politics,Steering political events,D
English,1994,Which of the following is implied in the passage?,Women are not politicians,Women should be confined to the home,Women are capable of political leadership,Post-colonial politics should not involve women,C
English,1994,A suitable title for the passage is,Women in politics,Champions of women liberation,Great women of yesteryears,Electioneering campaigns,C
English,2003,Fill each gap with the most appropriate option from the list provided. He put .......... in a basket?,white dozen eggs,a dozen white eggs,a white dozen eggs,dozen white eggs,B
English,2003,Fill each gap with the most appropriate option from the list provided. Course ......... writers are to reflect local colour,material's,materials',materials,material,D
English,2003,Fill each gap with the most appropriate option from the list provided. The reason why he was not offered admission was ...... his results could not be found?,that,when,owing to,because,A
English,2003,Fill each gap with the most appropriate option from the list provided. If you saw the photograph of the man ....... you be able to identify him?,could,would,can,will,B
English,2003,"Fill each gap with the most appropriate option from the list provided. As Obande does not know anyone in this city, he hopes that some kind ........ will put him up for the night?",man,men,inhabitants,individuals,A
English,2003,Fill each gap with the most appropriate option from the list provided. The doctor asked the patient what .......?,the problem is,is your problem,the problem was,is the problem,C
English,2003,Fill each gap with the most appropriate option from the list provided. The woman is one of the ........ of the society?,elitist,elite,elites,elitists,B
English,2003,Fill each gap with the most appropriate option from the list provided. Three quarters of the people in the village ....... killed but only half of their huts ......... affected?,were / were,was / was,were/ was,was /were,A
English,2003,Fill each gap with the most appropriate option from the list provided. The armed robbers went into the house and robbed the three .......?,woman occupants,women's occupants,woman's occupants,women occupants,D
English,2003,Fill each gap with the most appropriate option from the list provided. It was a free-for-all and the students were blamed for taking the law ....... ?,in their own hands,into their own hands,into their hands,in their hands,B
English,2003,Fill each gap with the most appropriate option from the list provided. The candidate's charisma should be a ....... factor in winning the election?,determinant,determinate,determining,determinable,C
English,2003,Fill each gap with the most appropriate option from the list provided. I can't stand people prying into my private life; Ladi said '......' agreed Agbenu?,Me too,Likewise myself,Me neither,I also,C
English,2003,Fill each gap with the most appropriate option from the list provided. Four weeks ....... enough for the police to conclude their investigation?,were,is,are,has been,B
English,2003,Fill each gap with the most appropriate option from the list provided. It is bad to take ........ property without permission?,someone else,someone else's,someone's else,someone's else's,B
English,2003,"Fill each gap with the most appropriate option from the list provided. My classmate ....... I haven't seen for years, wrote to me last week?",whose,which,that,whom,D
English,2003,"Fill each gap with the most appropriate option from the list provided. If you would do me this favour, I ......... be very grateful?",should,would,shall,will,B
English,2003,Fill each gap with the most appropriate option from the list provided. Ali plays ...... violin with remarkable skill?,a,the,their,some,B
English,2003,Fill each gap with the most appropriate option from the list provided. I have the ....... of meeting the President?,priviledge,privedge,previledge,privilege,D
English,2003,Fill each gap with the most appropriate option from the list provided. The sergeant spoke to me in a...... manner?,coarse,causal,coerce,course,A
English,2003,Fill each gap with the most appropriate option from the list provided. Idankwo ran ...... miss the train?,lest he may,lest he should,lest he almost,lest he will,B
English,2003,Fill each gap with the most appropriate option from the list provided. How is the new editor ...... on with his work?,moving,getting,pushing,going,B
English,2003,Fill each gap with the most appropriate option from the list provided. Be careful not to ..... this money?,loose,lose,lost,loss,B
English,2003,"Fill each gap with the most appropriate option from the list provided. Nowadays, many graduate are not well disposed to teaching ........?",are they?,aren't they?,do they?,they are?,A
English,2003,Fill each gap with the most appropriate option from the list provided. Adika ....... a message from the club regularly?,receives,had received,receive,has received,A
English,2003,Fill each gap with the most appropriate option from the list provided. It is often ....... that inflation ....... from too much money chasing very few goods?,said / results,say / result,said /result,say / resulted,A
English,2003,Choose the option that has a different vowel sound from the others.,spot,law,north,naght,A
English,2003,Choose the option that has a different vowel sound from the others.,cost,won't,hope,coast,A
English,2003,Choose the option that has a different vowel sound from the others.,there,dear,fair,bear,B
English,2003,Choose the option that has a different consonant sound from the others.,wife,of,off,laugh,B
English,2003,Choose the option that has a different vowel consonant sound from the others.,chef,chief,shoe,ocean,B
English,2003,"Select the option that best explains the information conveyed in the sentence. If he went to London, he would see the Queen?",He did not go to London and did not see the Queen,He would like to see the Queen when he goes to London,When he goes to London he will see the Queen,He did not see the Queen when he went to London,A
English,2003,Select the option that best explains the information conveyed in the sentence. Ngozi has always considered her father to be an impassioned man?,Her father is a very strict man,Her father is a very lively man,Her father is an emotional man,Her father is a disciplined man,C
English,2003,Select the option that best explains the information conveyed in the sentence. The manager paid us in hard currency ?,We were paid in a strong and stable currency,We were paid in dollars and pound sterling,We were paid in new notes,We paid in foreign currency,A
English,2003,Select the option that best explains the information conveyed in the sentence. The elders rebuked Olu for taking issue with his principal?,Olu was scolded for acting in collusion principal,Olu was reprimanded for arguing with his principal,Olu was blamed for issuing a statement denying his principal,Olu was cautioned for shouting at his principal,B
English,2003,"Select the option that best explains the information conveyed in the sentence. In spite of his humble beginning, Audu now throws his weight around?","His noble brith notwithstanding, Audu is a corrupt man","From his poor background, Audu is now a rich man","Despite his obvious poverty, Audu is a proud man",Audu is arrogant despite his simple upbringing,D
English,2003,Choose the option that has the same consonant sound as the one represented by the letter(s) underlined. ch alet?,chairman,college,champagne,chemical,C
English,2003,Choose the option that has the same consonant sound as the one represented by the letter(s) underlined. tee th ?,taught,tank,though,thought,D
English,2003,Choose the option that has the same consonant sound as the one represented by the letter(s) underlined. co n crete?,anxious,concern,consider,attend,A
English,2003,Choose the option opposite in meaning to the underlined word(s). He is well known for his inordinate ambition?,passionate,sound,excessive,moderate,D
English,2003,Choose the option opposite in meaning to the underlined word(s). A conservative estimate put the number of missing persons at forty?,An accurate,An incorrect,A rough,A primitive,A
English,2003,Choose the option opposite in meaning to the underlined word(s). Agbenu was ecstatic about her result?,sad,dispassionate,mad,pessimistic,A
English,2003,Choose the option opposite in meaning to the underlined word(s). Students could be timid ?,pugnacious,friendly,bold,covetous,C
English,2003,Choose the option opposite in meaning to the underlined word(s). The labour leader's recalcitrant stance was applauded.,flexible,uncompromising,well-informed,stubborn,A
English,2003,Choose the option opposite in meaning to the underlined word(s). The company has continued to monopolize the distribution of the products?,regularize,liberalize,centralize,specialize,B
English,2003,Choose the option opposite in meaning to the underlined word(s). The company has continued to monopolize the distribution of the products?,regularize,liberalize,centralize,specialize,B
English,2003,Choose the option opposite in meaning to the underlined word(s). The doctor examined the patient painstakingly ?,carefully,perfunctorily,professionally,painfully,B
English,2003,"Choose the option opposite in meaning to the underlined word(s). Toyin is married to an impatient , self-centred man",a tolerant,a tolerable,a fretful,an edgy,A
English,2003,Choose the option opposite in meaning to the underlined word(s). The agency has sworn to deal with all the apostles of confederation?,opponents,apostates,proponents,protagonists,A
English,2003,Choose the option opposite in meaning to the underlined word(s). The members of the congregation were inspired by the sermon?,enthralled,disenchanted,disorientated,bewitched,B
English,2003,Choose the option opposite in meaning to the underlined word(s). Gregarious animals can be found in the zoo.,lonely,tame,wild,various,A
English,2003,Choose the option opposite in meaning to the underlined word(s). I am loath to do the assignment.,unwilling,waiting,dying,willing,D
English,2003,Choose the option opposite in meaning to the underlined word(s). Only those who are gullible fall victim to his trickery?,astute,courteous,saucy,devastated,A
English,2003,Choose the option opposite in meaning to the underlined word(s). A cool bath in a hot weather can be truly invigorating ?,debillitating,devastating,disgusting,unpalatable,A
English,2003,Choose the option opposite in meaning to the underlined word(s). The witness decided to conceal the evidence?,walve,divulge,hide,destory,B
English,2003,The words in capital letters has emphatic stress. Choose the option to which the sentence relates. The President SPOKE to the press.,Did the president write to the press?,Did the President speak to the press ?,Who spoke to the press?,Are these the pressmen that the President spoke to?,A
English,2003,The words in capital letters has emphatic stress. Choose the option to which the sentence relates. My MOTHER served rice and fresh fish stew for dinner.,Did your mother serve rice and fresh fish stew for lunch ?,Who served rice and fresh stew for dinner?,What kind of meal did your mother serve for dinner,What kind of stew did your mother serve for dinner,B
English,2003,Choose the option that has the same vowel sound as the one represented by the letter(s) underlined. mark e t,mortgage,bachelor,get,enter,A
English,2003,Choose the option that has the same vowel sound as the one represented by the letter(s) underlined. C olo nel?,golden,girl,colony,gaol,B
English,2003,Choose the option that has the same vowel sound as the one represented by the letter(s) underlined. T e nd?,caned,jeopardy,turned,earned,B
English,2003,Choose the option nearest in meaning to the underlined word(s). They boys knew that storm was imminent ?,impending,encroaching,possible,threatening,A
English,2003,Choose the option nearest in meaning to the underlined word(s). The leader has the unstinting support of his party?,cautious,uninspiring,unsparing,laudable,C
English,2003,Choose the option nearest in meaning to the underlined word(s). The essence of governance is to seek the good and well-being of the majority of the people?,characteristics,importance,secret,goal,B
English,2003,Choose the option nearest in meaning to the underlined word(s). The carpenter built a commodious wardrobe?,wide,gigantic,small,spacious,D
English,2003,Choose the option nearest in meaning to the underlined word(s). The company is to shed three thousand staff this year?,throw up,placate,lay off,demote,C
English,2003,"Choose the option nearest in meaning to the underlined word(s). A few years ago, nobody would have believed that the economy would turn around ?",change,deteriorate,improve,stagnate,C
English,2003,Choose the option nearest in meaning to the underlined word(s). The man's story sounded plausible to his audience?,credible,entertaining,fantastic,credulous,A
English,2003,"Choose the option nearest in meaning to the underlined word(s). Before announcing his retirement, Ochima resolved to settle an account with the bank?",get back at,pay back all he owes,close his account with,retire his loans from,B
English,2003,Choose the option nearest in meaning to the underlined word(s). He shared his room with a person whose behaviour was quite nauseating ?,disgusting,disrespectful,disgraceful,discouraging,A
English,2003,"Choose the option nearest in meaning to the underlined word(s). From what she said, one may infer that she does not like the course?",agree,deduce,suppose,realize,B
English,2003,Choose the option nearest in meaning to the underlined word(s). They party supporters vilified the Chairman for the role he played in the crises that rocked the party?,impeached,condemned,challenged,elected,B
English,2003,Choose the option nearest in meaning to the word or phrase underlined. Publishing as a business venture has become a hot potato in Nigeria?,unacceptable,unpleasant,expensive,profitable,B
English,2003,Choose the option nearest in meaning to the underlined word(s). The cynics feared that the nation's nascent democracy would fail?,illusionists,pessimists,declinquents,critics,B
English,2003,Choose the option nearest in meaning to the underlined word(s). The nurse was in favour of voluntary euthanasia ?,a sleeping pill,a major operation,a painless death,a simple operation,C
English,2003,Choose the option nearest in meaning to the underlined word(s). There was a glut of oil on the market?,an abundance of,an increase in,a variety of,an accumulation of,A
English,2003,Choose the option that has the same stress pattern as the given word. Typist,refuse (noun),superb,propose,rebel (verb),A
English,2003,Choose the option that has the same stress pattern as the given word. CEment?,perfect (adjective),include,interest,employ (noun),A
English,2003,"According to the passage, the moralist idea is that",people should accept a point of view only when they are convinced,smoking is not good but a little alcohol may be permitted,the smoking of cigarettes is bad and unacceptable,it is typically African not to smoke cigarettes,C
English,2003,"It can be concluded from the passage that morality, religion and economy are",some what interconnected,clearly interconnected,certainly unrelated,certainly different,D
English,2003,Which of the following statement is true according to the passage?,Everyone ignores the moralist view on drinking and smoking,Total abstinence from drinking and smoking is a religious obligation,people who drink or smoke surely die of cancer,smoking and drinking may have positive effects on the economy,D
English,2003,The view expressed by the writer in the last paragraph is that,more people appear to take to drinking and smoking,the number of alcoholics and smokers is certainly increasing,sales of alcohol and tobacco products have improved tremendously,more people now abstain from drinking and smoking,C
English,2003,The positions maintained by the moralist and the economist can be described as being,very passionate,quite indifferent,at variance,very agreeable,C
English,2003,When of the following statement is true according to the passage?,Man poses the greatest threat a Nature,Man kills animals only when he can afford to do so,Man cannot spare those animals that eat his kind,Man eats all categories of animals,A
English,2003,The sentence There will be twice as many of us before most of us are dead means,the population growth rate will double before our death,mankind is fast spreading across the earth,some increase in human and animal population growth rates,many of us will die as a result of population explosion,A
English,2003,The expression when evolved a conscience means when,man acquired new habits,man developed an awareness of right and wrong,man became a critical creature,man's intellect improved tremendously,B
English,2003,"From the passage, the attitude of the writer can be described as",optimistic,indifferent,pessimistic,partial,A
English,2003,The basic causes of the elimination of certain animals from the earth include,man's penchant for meat and sale of animals for meat and hides,man's decision to live in cities and the development of large farmlands,a deliberate battle against Nature and the quest for leopard skin,extensive killing of animals and the fast disappearance of their favourable habitats,D
English,2003,"In question number 11 above, choose the best option from letters A - D that best completes the gap.",Quantum,Document,Free,Manuscript,D
English,2003,"In question number 12 above, choose the best option from letters A - D that best completes the gap.",an audience,a congregation,a conference,a gathering,A
English,2003,"In question number 13 above, choose the best option from letters A - D that best completes the gap.",genuine,impromptu,guaranteed,formal,D
English,2003,"In question number 14 above, choose the best option from letters A - D that best completes the gap.",reportive,conclusive,speculative,critical,A
English,2003,"In question number 15 above, choose the best option from letters A - D that best completes the gap.",Assembly,Audience,Organisation,Negotiation,A
English,2003,"In question number 16 above, choose the best option from letters A - D that best completes the gap.",advanced,analogus,discreet,polished,D
English,2003,"In question number 17 above, choose the best option from letters A - D that best completes the gap.",vocal,bifocal,anticipatory,profuse,A
English,2003,"In question number 18 above, choose the best option from letters A - D that best completes the gap.",decisive,positive,interactive,restrictive,B
English,2003,"In question number 19 above, choose the best option from letters A - D that best completes the gap.",dialect,rhetoric,slang,language,D
English,2003,"In question number 20 above, choose the best option from letters A - D that best completes the gap.",text,exchange,context,note,A
English,2003,Which of the following captures the writer's suggestion on how the Eagles could improve?,"Good coaching, more strikers and more defenders","Better goalkeeping, a better attack and a stronger midfield","Fair officiating, good goalkeeping and fast players","Replacement of injured players, stronger attackers and a rugged defence",D
English,2003,A suitable title for this passage is,The Eagles in World Cup 2002,The FIFA Korea/Japan 2002,The Nigeria and the Seneglese Teams,Africa Teams in the 2002 World Cup,B
English,2003,"From the argument in the last paragraph, it can be concluded that the Eagles were",more timid and goal-shy than their opponents,not sure of getting to the next round of the tournament,not as strong as the Senegalese team,more experienced than the Senegalese team,D
English,2003,"The word debutants, as used in the passage, means",first -timers,giant killers,hard-fighters,under-dogs,A
English,2006,Choose the option that best completes the gap(s). The police claim that a number of stolen cars ....... recovered?,have been,has been,has being,have being,A
English,2006,Choose the option that best completes the gap(s). ....... been there to look several times without success?,He' II,He's,Is he,He is,B
English,2006,Choose the option that best completes the gap(s). The old man was rushed to hospital when his blood pressure dropped to a ....... level?,dangerously lowly,dangerous lowly,dangerously low,dangerous low,C
English,2006,"Choose the option that best completes the gap(s). Until he lost the election, agbo ....... to be Student Union president?",had been hoping,has been hoping,would have hoped,has hoped,A
English,2006,"Choose the option that best completes the gap(s). If he ....... for admission, I am sure he would succeed?",will apply,applied,had applied,has applied,B
English,2006,Choose the option that best completes the gap(s). The ....... robber showed no mercy during the attack?,loquacious,senseless,ruthless,benevolent,C
English,2006,Choose the option that best completes the gap(s). Did you have ....... when you went to visit the medical doctor?,diarrhoea,diarrehea,diarhoea,diarhea,A
English,2006,Choose the option that best completes the gap(s). your performance will improve if you ..... hard?,are practising,practical,would practice,practise,D
English,2006,Choose the option that best completes the gap(s). The brave hunter killed the ...... in the forest?,big spitting cobra black,black big spitting cobra,big black spitting cobra,big spitting black cobra,C
English,2006,"Choose the option that best completes the gap(s). He wrote to you, .......?",hadn't he,wouldn't he,didn't he,hasn't he,C
English,2006,Choose the option that best completes the gap(s). The clubs were not ...... on a solid ethical base?,funded,found,created,founded,D
English,2006,Choose the option that best completes the gap(s). I watched him as he ....... the hole?,dug,digs,is digging,dugged,A
English,2006,Choose the option that best completes the gap(s). His father hardly misses the news because he goes about with his ....... radio?,pointable,pottable,potable,portable,D
English,2006,Choose the option that best completes the gap(s). The investigation Commission has treated all the ......submitted to it by the warning factions?,protests,petitions,applications,enquires,B
English,2006,Choose the option that best completes the gap(s). Olu brought his clothes and those of his ...... ?,senior brother's,elder brothers,elder brother's,senior brother,B
English,2006,Choose the option that best completes the gap(s). Our neighbour was attracted by the ....... from my mother's cooking?,flavour,stench,scent,aroma,D
English,2006,Choose the option that best completes the gap(s). Everybody is allowed to ....... his view on state matters?,air,hear,show,share,A
English,2006,"Choose the option that best best completes the gap(s). Despite all preparations, the wedding did not ...... ?",come along,come by,come on,come off,D
English,2006,"Choose the option that best completes the gap(s). For beating...... his coursemate, Agbo was ..... from the university?",up / rusticated,on / expelled,at / removed,away / sent out,A
English,2006,Choose the option that best completes the gap(s). We have been living peacefully here but ....... hear rumours of war?,again,slowly,occasionally,eventually,C
English,2006,Choose the appropriate stress pattern from the option. The syllables are written in capital letters. genealogy?,geneaLOGY,geneAlogy,geNEalogy,GEnealogy,B
English,2006,Choose the appropriate stress pattern from the option. The syllables are written in capital letters. catholicism?,caTHOlicism,catholiCIsm,CAtholicism,cathoLIcism,A
English,2006,Choose the option that has a different stress pattern from the others.,ability,quadruplicate,registration,revivalist,C
English,2006,Choose the option that has a different stress pattern from the others.,competent,represent,syllables,quality,B
English,2006,Choose the option that has the same stress as the given word. apparent,arrested,telephone,paragraph,appetite,A
English,2006,Choose the option that has the same stress as the given word. dovetail,proviso,simplicity,jargon,psychiatry,C
English,2006,Choose the option that has stress on the first syllable.,insult (noun),prepare,provoke,pronounce,A
English,2006,Choose the option that has the same stress on the first syllable.,frequent (verb),mature,madam,convict (verb),C
English,2006,"Select the option that best explains the information conveyed in the sentence. In our college, the regulations concerning resits are grey area?",The regulation have just been revised,The regulations have been often ignored,The regulations are perfectly clear,The regulations are not very clear,D
English,2006,"Select the option that best explains the information conveyed in the sentence. Ogiri takes after his father, he fawns upon anyone with influence.","Like his father, Ogiri likes to flatter people with influence in society","Like his father, Ogiri hates influential people","Ogiri, who always follows his father, tries to act an influential man","Ogiri, who looks like his father, follows rich and influential people about",A
English,2006,Select the option that best explains the information conveyed in the sentence. You are to write a report and give it to the security office?,"After writing your report, give it to the security office","You are writing a report, as the security office directed",The report you are writing should be given to the security office,"You have been ordered to write a report, which you will give to the security office",D
English,2006,"Select the option that best explains the information conveyed in the sentence. After the war, the victors became increasingly vindictive?",Vengeful attacks were incessantly carried out on those who lost war,Friendly measures were taken to heal the wounds,Repressive measures were taken against those who lost the war,Those who won the war became treacherous,A
English,2006,Select the option that best explains the information conveyed in the sentence. The prefect reeled off the names of all the students who broke the library?,The prefect gave a disjointed list of the students in the law library,The prefect omitted the names of the students who broke into the law library,The prefect submitted a complete list of the students who stole library books,The prefect gave an accurate list of the students who disobeyed library regulations,D
English,2006,Select the option that best explains the information conveyed in the sentence. I owe you far less than you owe me?,My debt to you is greater than yours to me,Your debt is not much greater than mine,What we owe each other is approximately the same,"I owe you something, but you owe me much more",D
English,2006,Select the option that best explains the information conveyed in the sentence. The dispute over land acquisition has come to a head?,The problem has reached crisis proportions,The problem has been referred to the headquarters,"Because of the dispute, land acquisition has now been halted",The problem has now been solved,A
English,2006,Select the option that best explains the information conveyed in the sentence. He had hardly spoken when the bell rang?,"He found it difficult to speak, and then the bell rang","When the bell rang, he was still speaking",The bell rang very soon after he spoke,He spoke in a harsh manner and the bell rang,C
English,2006,Select the option that best explains the information conveyed in the sentence. I think she takes her guardian's support for granted?,"Her guardian has been helping her for a long time, and she is very grateful to him",She wants her guardian to grant her more support,She thinks her guardian will no longer support her as he has been doing,"Her guardian has been helping her for a long time, but she does not show enough gratitude",D
English,2006,Select the option that best explains the information conveyed in the sentence. The class has fallen in with the teacher's plans?,The class has ignored the plans,The class has rejected the plans,The class has accepted the plans,The class has modified the plans,C
English,2006,Choose the option nearest in meaning to the word underlined. The move to expel the chairman was sanctioned by members of the party?,unleashed,opposed,supported,initiated,C
English,2006,"Choose the option nearest in meaning to the word underlined. Because Jamiu is so easily offended , he was not considered for the post of head boy?",irritable,stubborn,troublesome,docile,A
English,2006,Choose the option nearest in meaning to the word underlined. The witness provided a monstrous account of the event?,supportive,tragic,shocking,verbatim,C
English,2006,Choose the option nearest in meaning to the word underlined. Adamu is rather meddlesome in dealing with his friends.,impertinent,intimidating,quarrelsome,uncaring,A
English,2006,"Choose the option nearest in meaning to the word underlined. The commander said that the battle would be sustained, total and relentless ?",continuous,brutal,fierce,innocuous,A
English,2006,Choose the option nearest in meaning to the word underlined. The government has announced its preparedness for the scheme?,determination,regret,pleasure,readiness,D
English,2006,Choose the option nearest in meaning to the word underlined. The chairman advised the participants to follow convention in stating their points?,eloquence,advice,prudence,tradition,D
English,2006,Choose the option nearest in meaning to the word underlined. His discovery of the vaccine became a quantum leap in search for a scientific cure for the illness.,victorious battle,slow but steady step,great impovement,fast but sure step,C
English,2006,"Choose the option nearest in meaning to the word underlined. After the meeting, I read a leer on his face as he looked at the woman?",satisfying meaning,bad look,pleasant disposition,poor smile,B
English,2006,Choose the option nearest in meaning to the word underlined. His loss suddenly became redeemable ?,incurable,exclusive,recoverable,repulsive,C
English,2006,Choose the option nearest in meaning to the word underlined. The plan has gone awry ?,wide,wrong,well,wild,B
English,2006,Choose the option nearest in meaning to the word underlined. The judge emphasized his morbid desires in his judgement?,inordinate,uncritical,ravenous,unpleasant,D
English,2006,Choose the option nearest in meaning to the word underlined. The recommended novel has a convoluted theme?,a simple,an attractive,a disgusting,a complicated,D
English,2006,Choose the option nearest in meaning to the word underlined. The party men revelled all night when the election results were announced.,celebrated,mourned,fought,discussed,A
English,2006,Choose the option nearest in meaning to the word underlined. He is a prolific writer?,a very productive,a well-known,a clever,an influential,A
English,2006,Choose the option that has the same vowel sound as the one represented by the letter(s) underlined. H ur t?,hut,girl,hate,hot,B
English,2006,Choose the option that has the same vowel sound as the one represented by the letter(s) underlined. C oc k?,cop,cope,cork,cup,A
English,2006,Choose the option that has the same vowel sound as the one represented by the letter(s) underlined. S a ys?,fierce,dam,wet,rain,C
English,2006,Choose the option that has the same vowel sound as the one represented by the letter(s) underlined. charact e r?,unique,charade,arch,church,B
English,2006,Choose the option that has the same consonant sound as the one represented by the letter(s) underlined. bush es ?,shapes,shoes,rapes,rakes,B
English,2006,Choose the option with the same consonant sound as the one represented by the emboldened letter(s). gara ge,gear,sure,pressure,measure,D
English,2006,Choose the option opposite in meaning to the underlined word(s). The usually hostile crowd was captivated by the player's winsome attitude?,obnoxious,friendly,colourful,drunken,A
English,2006,Choose the option opposite in meaning to the underlined word(s). To encourage productivity we must reward industry and ______ laziness,withhold,withdraw,punish,oppose,C
English,2006,Choose the option opposite in meaning to the underlined word(s). The reporter made a masterly analysis of the situation?,an unskilful,a mistaken,an indepth,a proper,A
English,2006,Choose the option opposite in meaning to the underlined word(s). He has no reason to have his heart in his mouth?,think negatively,feel guilty,be afraid,be confident,D
English,2006,Choose the option opposite in meaning to the underlined word(s). That little boy has become quite chubby ?,thin,intelligent,huge,tall,A
English,2006,Choose the option opposite in meaning to the underlined word(s). He gave himself up by his plebeian tastes?,robust,voracious,patrician,laughable,C
English,2006,Choose the option opposite in meaning to the underlined word(s). Akpan was able to douse the flames with the new piece of equipment?,reduce,extinguish,ignite,reinforce,C
English,2006,Choose the option opposite in meaning to the underlined word(s). No sooner had he arrived than it started to rain?,Long before,Seldom,Simultaneously,just before,A
English,2006,Choose the option opposite in meaning to the underlined word(s). The action was premeditated ?,unnecessary,catastrophic,unplanned,uncoordinated,C
English,2006,Choose the option opposite in meaning to the underlined word(s). A tentative solution was provided?,A convincing,A provisional,An amicable,A definite,D
English,2006,Choose the option opposite in meaning to the underlined word(s). The chief said he would use the power inherent in his office to stop the celebration.,unrelated to,common to,allotted to,impervious to,A
English,2006,"Choose the option opposite in meaning to the underlined word(s). In our last play, Segun acted the hero ?",villain,devil,criminal,assassin,A
English,2006,Choose the option opposite in meaning to the underlined word(s). The point you have made is quite apt,illogical,helpful,irrelevant,insentitive,C
English,2006,Choose the option opposite in meaning to the underlined word(s). The police found conclusive proof of the boy's guilt?,a corroborative,a doubtful,a consolatory,an incriminating,B
English,2006,Choose the option opposite in meaning to the underlined word(s). The man drew a sword as people congregated round him?,praised,gathered round,mobbed,fled from,D
English,2006,"Choose the option opposite in meaning to the underlined word(s). The notice reads, 'No cash translations in this hall'?",money,gainful,business,cheque,D
English,2006,"The phrase political hysteria , as used in the passage means",hatred and rivalries,anxiety and misunderstanding,crisis and confusion,tension and ill feeling,D
English,2006,according to the passage the desirable newspaper is that which,does not create political hysteria,is eclectic and modest,is intellectual and unbiased,is popular and sensational and has a slight political favour,C
English,2006,An appropriate tittle for this passage is,The Ideal Daily Newspaper,The Political Hysteria of a Daily Newspaper,The Logic of Press Freedom,Three Ideal Functions of a Daily Newspaper,A
English,2006,which of the following best summarizes the argument in the passage?,There are three laudable though unequal ways of news presentation by a daily paper,"A good newspaper is that which is simple, logical and balanced in its news coverage",Press freedom is an important feature of a daily newspaper,There are three obvious functions of a daily newspaper,B
English,2006,The writer seems to suggest that,"objectivity, simplicity and clarity are the hallmarks of good journalism",the important function of a daily newspaper is to further develop the news headlines which the radio usually produces,sensational reporting is a feature of press freedom,there can be no unbiased newspaper presentation,A
English,2006,"from the last paragraph, it can be concluded that",the effect of women's liberation are felt only at home and at work,the women liberation movement has brought untold hardship on many Nigerian men,the liberation movement is women's reaction to men's action,Nigerian men are opposed to the women liberation movement,C
English,2006,one of the argument in support of the women's liberation movement is that it,"brings improvement at home, at work and in politics","compels men to take over the task of cooking, cleaning and other household chores",encourages Nigerian women to eke out a living independent of the men,enables more women to attain higher positions,D
English,2006,which of the following statement is true according to the passage?,The Nigerian society is now free of all discrimination against women,The quest for women's liberation appears to be making progress in Nigeria,The majority of Nigerian women have now taken over men's traditional role,women in Nigeria have now established a ministry called Ministry of Women Affairs,B
English,2006,"The expression causing sweeping changes as used in the passage, means",improving husband-wife relationship,cleaning up the Nigerian society,producing far-reaching effects,resulting in unpalatable consequences,C
English,2006,Which of the following captures the vision of the writer in the future of Nigerian women,"Nigerian higher institutions can produce more women doctors, lawyers and accountants than men",It is possible for Nigerian women to attain equal status with men,Nigerians will never acept a woman president for their country,"if the present trend is not checked, Nigerian women will take over the roles of the men",D
