question_id,exam_type,subject,topic,subtopic,difficulty,year,passage_id,question_text,image_url,option_a,option_b,option_c,option_d,correct_option,explanation,tags,source,status
GEO-J00775,JAMB,Geography,,,medium,2000,,Tap is visible from,,Klo,Enso,Nino,Ned,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00776,JAMB,Geography,,,medium,2000,,Roads and settlements are restricted in the area because of the,,Steep hill slopes,Mining activities,Presence of many rivers,Predominance of footpaths,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00777,JAMB,Geography,,,medium,2000,,The bearing of the end of the secondary road at Ned from the road junction at Gag is approximately,,80 o,170 o,260 o,350 o,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00778,JAMB,Geography,,,medium,2000,,The approximate elevation of the spot height indicated on the eastern peak is,,725km,715km,710km,695km,,,jamb-archive|needs-key|needs-figure,past-question,draft
ACC-J00647,JAMB,Accounting,,,medium,2001,,WHAT IS THE STOCK VALUATION METHOD USED?,,LAST IN FIRST OUT,FIRST IN FIRST OUT,AVERAGE COST,WEIGHTED AVERAGE,,,jamb-archive|needs-key|needs-figure,past-question,draft
ACC-J00648,JAMB,Accounting,,,medium,2001,,The value of x is,,₦4.00,₦5.00,₦5.50,₦6.00,,,jamb-archive|needs-key|needs-figure,past-question,draft
ACC-J00649,JAMB,Accounting,,,medium,,,The working capital of the club is,,₦5000,₦4000,₦3000,₦7000,,,jamb-archive|needs-key|needs-figure,past-question,draft
ACC-J00650,JAMB,Accounting,,,medium,,,It is the tradition of the club to write off an amount equal to 25% of the subscriptions received as other expenses. What is the amount to be written off as other expenses?,,₦4500,₦6000,₦4000,₦5000,,,jamb-archive|needs-key|needs-figure,past-question,draft
ACC-J00651,JAMB,Accounting,,,medium,,,It is the tradition of the club to write off an amount equal to 25% of the subscriptions received as other expenses. Determine the club's excess of income over expenditure,,₦12000,₦15000,₦10000,₦14500,,,jamb-archive|needs-key|needs-figure,past-question,draft
ACC-J00652,JAMB,Accounting,,,medium,,,Miscellaneous expense is 10% of revenue Calculate the net income.,,"₦583,000","₦563,000","₦483,000","₦581,000",,,jamb-archive|needs-key|needs-figure,past-question,draft
ACC-J00653,JAMB,Accounting,,,medium,,,Subscriptions received are always put at 125% of the total donations received and refreshment sales. What is the closing cash balance ?,,₦11500,₦12000,₦13000,₦13500,,,jamb-archive|needs-key|needs-figure,past-question,draft
ACC-J00654,JAMB,Accounting,,,medium,,,Subscriptions received are always put at 125% of the total donations received and refreshment sales. Compute the subscriptions received.,,₦30000,₦28000,₦24000,₦20000,,,jamb-archive|needs-key|needs-figure,past-question,draft
ACC-J00655,JAMB,Accounting,,,medium,,,Credit purchases are always put at 150% of the total cash paid to suppliers Calculate the closing balance of the ledger account,,₦6 900,₦6400,₦5000,₦4000,,,jamb-archive|needs-key|needs-figure,past-question,draft
ACC-J00656,JAMB,Accounting,,,medium,,,Credit purchases are always put at 150% of the total cash paid to suppliers Determine the credit purchases,,₦13 500,₦15 500,₦13 400,₦12 000,,,jamb-archive|needs-key|needs-figure,past-question,draft
ACC-J00657,JAMB,Accounting,,,medium,,,What is the capital at start?,,₦53 000,₦63 000,₦73 000,₦83 000,,,jamb-archive|needs-key|needs-figure,past-question,draft
ACC-J00658,JAMB,Accounting,,,medium,,,What is the value of the authorized share capital?,,"₦500,000","₦600,000","₦750,000","₦1, 200,000",,,jamb-archive|needs-key|needs-figure,past-question,draft
ACC-J00659,JAMB,Accounting,,,medium,,,The value of the owner's equity is,,"₦400,000","₦900,000","₦957,000","₦1,357,000",,,jamb-archive|needs-key|needs-figure,past-question,draft
ACC-J00660,JAMB,Accounting,,,medium,,,What is the net profit made by department S?,,"₦3,600","N,3000","₦2,400","₦2,000",,,jamb-archive|needs-key|needs-figure,past-question,draft
ACC-J00661,JAMB,Accounting,,,medium,,,The depreciation to be charged to department T is ?,,₦30P00,₦400,500,₦600,,,jamb-archive|needs-key|needs-figure,past-question,draft
ACC-J00662,JAMB,Accounting,,,medium,,,The owner wishes to maintain an amount equal to ( frac{1}{3} ) of capital as drawings. The amount withdrawn is,,"₦2,100","₦2,200","₦4,400","₦6,400",,,jamb-archive|needs-key|needs-figure,past-question,draft
ACC-J00663,JAMB,Accounting,,,medium,,,The owner wishes to maintain an amount equal to ( frac{1}{3} ) of capital as drawings. The cash book closing balance will be,,₦900,"₦2,400","₦4,200","₦4,600",,,jamb-archive|needs-key|needs-figure,past-question,draft
ACC-J00664,JAMB,Accounting,,,medium,,,WHAT IS THE VALUE OF RAW MATERIALS ISSUED ON MAY 17TH BASED ON THE LIFO METHOD?,,₦60,₦61,₦62,₦64,,,jamb-archive|needs-key|needs-figure,past-question,draft
ACC-J00665,JAMB,Accounting,,,medium,,,Based on the FIFO method of valuation the total cost of the raw materials issued is,,₦150,₦160,₦240,₦250,,,jamb-archive|needs-key|needs-figure,past-question,draft
ACC-J00666,JAMB,Accounting,,,medium,,,"Musa merchants Trading and profit and Loss Account for the year ended Dec.31st, 2003 Determine the closing stock",,₦20 000,"₦30, 000",₦40 000,"₦50,000",,,jamb-archive|needs-key|needs-figure,past-question,draft
ACC-J00667,JAMB,Accounting,,,medium,,,The capital employed is,,₦13 000,₦9 900,₦8 400,₦9 000,,,jamb-archive|needs-key|needs-figure,past-question,draft
ACC-J00668,JAMB,Accounting,,,medium,,,Determine the closing stock under LOFO method,,₦575,₦500,₦375,₦275,,,jamb-archive|needs-key|needs-figure,past-question,draft
ACC-J00669,JAMB,Accounting,,,medium,,,Calculate the closing stock under FIFO method,,₦875,₦675,₦600,₦300,,,jamb-archive|needs-key|needs-figure,past-question,draft
ACC-J00670,JAMB,Accounting,,,medium,,,The current ratio is,,1:1,2:1,2.8:1,3.5:1,,,jamb-archive|needs-key|needs-figure,past-question,draft
ACC-J00671,JAMB,Accounting,,,medium,,,The quick ratio is,,1:2,1:3:1,1.7:1,3:1,,,jamb-archive|needs-key|needs-figure,past-question,draft
ACC-J00672,JAMB,Accounting,,,medium,,,The subscriptions received represent 80% of total payments and the opening balance is 30% of gate-fee collections. What is the closing cash balance?,,₦35 000,₦211 000,₦5 000,₦10 000,,,jamb-archive|needs-key|needs-figure,past-question,draft
ACC-J00673,JAMB,Accounting,,,medium,,,The subscriptions received represent 80% of total payments and the opening balance is 30% of gate-fee collections. The subscriptions received would be,,₦200 000,₦240 000,₦300 000,₦24 000,,,jamb-archive|needs-key|needs-figure,past-question,draft
ACC-J00674,JAMB,Accounting,,,medium,,,LOAN IS 30% OF CREDITORS. What is the capital balance?,,₦1000,₦2 100,₦900,₦1200,,,jamb-archive|needs-key|needs-figure,past-question,draft
ACC-J00675,JAMB,Accounting,,,medium,,,"LOAN IS 30% OF CREDITORS. A company has departments S,T and U. The sales are ₦20 000,20 000, ₦40 000 AND ₦60 000 respectively if the sales commission paid is ₦12 000, how much is T's share?",,₦8000,₦2000,₦4000,₦6000,,,jamb-archive|needs-key|needs-figure,past-question,draft
ACC-J00676,JAMB,Accounting,,,medium,,,On Jan. 30 Khalifa withdraw ₦2500 from the bank for office use. The cash balance at end of the month was,,₦1 600,₦4 100,₦6 600,₦6 100,,,jamb-archive|needs-key|needs-figure,past-question,draft
ACC-J00677,JAMB,Accounting,,,medium,,,What was the bank balance at the end of the month?,,₦7 000,₦6 500,₦7 500,₦9 000,,,jamb-archive|needs-key|needs-figure,past-question,draft
ACC-J00678,JAMB,Accounting,,,medium,,,The value of Y is,,₦11 500,₦8 500,₦13000,₦10000,,,jamb-archive|needs-key|needs-figure,past-question,draft
ACC-J00679,JAMB,Accounting,,,medium,,,X represents,,bank charges,an unpresented cheque,dividends,an uncredited cheque,,,jamb-archive|needs-key|needs-figure,past-question,draft
ACC-J00680,JAMB,Accounting,,,medium,,,"Assuming the closing stock was valued at ₦19 000 at the end of November, what was the gross profit?",,₦30 000,₦50 000,₦70 000,₦100 000,,,jamb-archive|needs-key|needs-figure,past-question,draft
ACC-J00681,JAMB,Accounting,,,medium,,,Determine the value of closing stock using the LIFO method,,₦2 000,₦2500,₦4000,₦35000,,,jamb-archive|needs-key|needs-figure,past-question,draft
ACC-J00682,JAMB,Accounting,,,medium,,,"If cheques of ₦40 000 were received but a cheque of ₦8 000 was dishonoured, the amount owed was",,₦9 000,₦20 000,₦1000,₦17 000,,,jamb-archive|needs-key|needs-figure,past-question,draft
ACC-J00683,JAMB,Accounting,,,medium,,,"If the discount allowed is 2.5% of sales, calculate the closing balance in the sales ledger account",,₦1400,₦6 600,₦16 600,₦18 600,,,jamb-archive|needs-key|needs-figure,past-question,draft
ACC-J00684,JAMB,Accounting,,,medium,,,Given: Calculate the surplus income.,,₦45 000,₦44 000,₦30 000,₦14 000,,,jamb-archive|needs-key|needs-figure,past-question,draft
ACC-J00685,JAMB,Accounting,,,medium,,,The debit ratio is approximately,,43%,42%,41%,23%,,,jamb-archive|needs-key|needs-figure,past-question,draft
ACC-J00686,JAMB,Accounting,,,medium,,,Which of the following is true of Uju Nig.Ltd?,,It is a highly geared company,It has no liquidity problem in the short term,It is adequately secured in fixed assets,It's working capital is zero,,,jamb-archive|needs-key|needs-figure,past-question,draft
ACC-J00687,JAMB,Accounting,,,medium,,,"Goods worth ₦300 was transferred from department Q to P Similarly, P's total expenses for the period was ₦200 What was department Q's gross profit?",,₦2 500,₦2 300,₦2 200,₦1700,,,jamb-archive|needs-key|needs-figure,past-question,draft
ACC-J00688,JAMB,Accounting,,,medium,,,"Goods worth ₦300 was transferred from department Q to P Similarly, P's total expenses for the period was ₦200 Department P's net profit was",,₦5 200,₦3000,₦2800,₦2 500,,,jamb-archive|needs-key|needs-figure,past-question,draft
ACC-J00689,JAMB,Accounting,,,medium,,,"If the gross profit margin is 10% of sales, what is the value of the cost of goods sold?",,"₦10,000","₦90,000","₦105,600","₦110,000",,,jamb-archive|needs-key|needs-figure,past-question,draft
ACC-J00690,JAMB,Accounting,,,medium,,,If the opening stock is 5% of sales. calculate the purchases,,"₦95,600","₦95,000","₦90,600","₦85,000",,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00794,JAMB,Biology,,,medium,2001,,The structure that holds the yolk in position is labelled,,II,I,IV,III,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00795,JAMB,Biology,,,medium,2001,,The part labelled IV is the,,albumen,germinal disc,yolk,air space,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00796,JAMB,Biology,,,medium,2001,,The parts which function together to bring about hearing are labelled,,"IV, V and VI","I, II, IV and VI","I, II, III and IV","I, II and IV",,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00797,JAMB,Biology,,,medium,2001,,The part labelled II is the,,fenestra ovalis,middle ear canal,internal auditrory meatus,ear ossicles,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00798,JAMB,Biology,,,medium,2001,,The structure above represents a,,caudal vertebra,lumbar vertebra,thoracic vertebra,cervical vertebra,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00799,JAMB,Biology,,,medium,2001,,Blood vessel usually pass through the structure labelled,,III,II,V,IV,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00800,JAMB,Biology,,,medium,,,"In the diagram, the hawk is",,an omnivore,a primary consumer,a tertiary onsumer,a scavenger,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00801,JAMB,Biology,,,medium,,,Which of the following statement is correct about the experiment?,,The flask must be of the conical type,Caustic soda can be replaced with distilled water,The enclosed leaf will lose its green colour,The leaves outside the flask serve as control,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00802,JAMB,Biology,,,medium,,,The experimental set-up can be used to demonstrate that,,light is necessary for photosynthesis,oxygen is necessary for photosynthesis,photosynthesis occurs in the leaves of plants,carbon (IV) oxide is necessary for photosynthesis,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00803,JAMB,Biology,,,medium,,,The function of the absorption is performed by the structure labelled,,I,II,III,IV,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00804,JAMB,Biology,,,medium,,,The structure labelled I represented the,,phloem,xylem,cortex,pericycle,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00805,JAMB,Biology,,,medium,,,The gland usually found in the position labelled I is the,,adrenal,thyriod,pancreatic,pituitary,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00806,JAMB,Biology,,,medium,,,A hormone secreted at IV serves to,,make the body react to emergencies,lower blood glucose level,raise the level of calcium ions in the blood,facilitate the development of facial hairs,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00807,JAMB,Biology,,,medium,,,Ovoviparity is the type of fertilization exhibited by the organism labelled,,IV,III,II,I,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00808,JAMB,Biology,,,medium,,,The correct evolutionary sequence of the organisms represented is,,IV->II->III->I,III->II->I->IV,II->III->IV->I,I->III=>II->IV,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00809,JAMB,Biology,,,medium,,,The structure that are common to both plant and animal cells are labelled,,IV and I,II and IV,II and III,I and II,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00810,JAMB,Biology,,,medium,,,Food is stored in the structure labelled,,III,I,IV,II,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00811,JAMB,Biology,,,medium,,,A noticeable adaptation of the animal to its aquatic habitat is the possession of,,a wide mouth,large eyes,webbed digits,fore limbs,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00812,JAMB,Biology,,,medium,,,The process of water loss and intake indicated by the arrow labelled I and II are respectively,,exhalation and osmosis,urination and diffusion,osmosis and diffusion,evaporation and osmosis,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00813,JAMB,Biology,,,medium,,,The aim of the experiment is to demonstrate,,that in mammal gaseous exchange takes place in the lungs,the part played by the pleural cavity and diaphragm in respiration,that a large amount of oxygen is absorbed by the lungs,the presence of carbon (IV) oxide in the exhaled air,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00814,JAMB,Biology,,,medium,,,"In the experimental set-up, the rubber sheet represents the organ called",,pleural cavity,lungs,diaphragm,intercostal muscles,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00815,JAMB,Biology,,,medium,,,The experiment is used to demonstrate that,,plants lose water through guttation,transpiration occurs through the leaves,water is necessary for photosynthesis,leaves are important to photosynthesis,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00816,JAMB,Biology,,,medium,,,"In the experiment, the layer of oil serves to prevent water loss",,transpiration,evaporation,osmosis,guttation,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00817,JAMB,Biology,,,medium,,,The structure can be found in the,,Sympathetic and parasympathetic nervous systems,Peripheral and central nervous system,Peripheral nervous system only,Central nervous system only,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00818,JAMB,Biology,,,medium,,,The point marked I is referred to as,,myelin sheath,dendrites,axon,node of Ranvier,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00819,JAMB,Biology,,,medium,,,The endoplasmic reticulum is represented by the part labelled,,I,II,III,IV,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00820,JAMB,Biology,,,medium,,,The part labelled II is responsible for,,photosynthesis,respiration,protein synthesis,excretion,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00821,JAMB,Biology,,,medium,,,Yam is used in this set-up because it,,is a permeable to the salt solution,is a plant material,acts as a storage organ,acts as a semi-permeable membrane,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00822,JAMB,Biology,,,medium,,,Which of the following results is to be expected if the set up is left for several hours?,,decrease in the size of the yam,movement of the salt solution into the water,decrease in the volume of water inside the yam,movement of water from the salt solution into the yam,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00823,JAMB,Biology,,,medium,,,The sweat gland is the structure labelled,,I,II,III,IV,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00824,JAMB,Biology,,,medium,,,The function of the part labelled III is to,,contract to pull the hair erect,conduct nervous impulses,carry blood and nitrogenous waste,produce oil for the skin,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00825,JAMB,Biology,,,medium,,,The process of pollination involves the transfer of pollens from,,II to III,IV to I,I to II,III to IV,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00826,JAMB,Biology,,,medium,,,The part labelled II is the,,stigma,anther,filament,style,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00827,JAMB,Biology,,,medium,,,The bones labelled II are called,,lumbar vertebrae,thoracic vertebrae,cervical vertebrae,sacral vertebrae,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00828,JAMB,Biology,,,medium,,,The type of joint between adjacent bones in the part labelled II is the,,hinge joint,ball and socket joint,suture joint,sliding joint,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00829,JAMB,Biology,,,medium,,,From the diagram above the angle between the parts labelled II and III is the,,bud,node,internode,axil,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00830,JAMB,Biology,,,medium,,,The part of the plant where photosynthesis is least likely to take place is,,I,II,III,IV,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00831,JAMB,Biology,,,medium,,,From the diagram above the part labelled IV represents the,,colon,ileum,caecum,duodenum,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00832,JAMB,Biology,,,medium,,,"From the diagram above, The bile is stored in the part labelled",,I,II,III,IV,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00833,JAMB,Biology,,,medium,,,From the diagram above the structure labelled I originates from the,,liver,kidney,small intestine,stomach,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00834,JAMB,Biology,,,medium,,,From the diagram above Birth control by vasectomy is achieved by severing the structure labelled,,I,II,III,IV,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00835,JAMB,Biology,,,medium,,,The main function of the structure labelled I is to,,store food for the young plant,pull the young shoot above the ground,store water for the seedling,protect the young plumule,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00836,JAMB,Biology,,,medium,,,The type of germination illustrated is termed,,hypogeal,epicotyl,epigeal,hypocotyl,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00837,JAMB,Biology,,,medium,,,From the diagram above the structure labelled I is the,,incus,malleus,hammer,stapes,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00838,JAMB,Biology,,,medium,,,A function of the part labelled II is to,,equalize pressure on both sides of the tympanum,conduct sound waves to the brain,help the animal maintain balance or posture,transform sound waves into electric impulses,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00839,JAMB,Biology,,,medium,,,From the diagram above the optimal temperature for breeding cockroaches is,,15 o C,19 o C,24 o C,33 o C,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00840,JAMB,Biology,,,medium,,,At which temperature will cockroaches not survive after 10 days,,15 o C,19 o C,24 o C,33 o C,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00841,JAMB,Biology,,,medium,,,Evaporation and transpiration are respectively represented by the components labelled,,I and II,II and III,III and IV,IV and I,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00842,JAMB,Biology,,,medium,,,The main reservoir of water in the circle is the,,cloud,ground water,plant,ocean,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00843,JAMB,Biology,,,medium,,,"The organ through which the embryo receives food, water and oxygen is labelled",,III,IV,II,I,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00844,JAMB,Biology,,,medium,,,"Using the diagram, sexual reproduction is illustrated in",,II,I,III,IV,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00845,JAMB,Biology,,,medium,,,"Using the diagram, A plant that exhibits the type of reproduction shown in IV is",,cola,ginger,bryophyllum,sugar cane,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00846,JAMB,Biology,,,medium,,,"Using the diagram, the part labelled IV is for",,excretion,nourishment,protection,respiration,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00847,JAMB,Biology,,,medium,,,The diagram represents the structure of,,proteins,chromosomes,RNA,DNA,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00848,JAMB,Biology,,,medium,,,"In the diagram, the part labelled I represents the",,base pairs,ribose sugar,phosphate linkage,deoxyri-bose sugar,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00849,JAMB,Biology,,,medium,,,"In the diagram, the change in the length of the neck of the giraffes shown was brought about by",,geographical isolation,predation,symbiosis,natural selection,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00850,JAMB,Biology,,,medium,,,"In the diagram, the variation illustration is",,discontinuous,morphological,physiological,biochemical,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00851,JAMB,Biology,,,medium,,,"In the diagram, The economic importance of the larva is that it",,is eaten by birds,develop into a moth,resembles the plant on which it lives,feeds on the leaves of crops,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00852,JAMB,Biology,,,medium,,,"In the diagram, the type of adaptation shown in the larva is",,mimicry,countershading,flash colouration,disruptive colouration,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00853,JAMB,Biology,,,medium,,,"In the diagram, The maxillary palp is labelled?",,ii,iv,i,iii,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00854,JAMB,Biology,,,medium,,,"In the diagram, the structure labelled I is sensitive to",,light and touch,chemicals only,light only,chemicals and touch,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00855,JAMB,Biology,,,medium,,,"In the diagram, A unique characteristic that distinguishes the class of vertebrates represented from other vertebrates is the presence of",,two pair of limbs,scales on the lower legs,a pair of wings,a covering of feathers,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00856,JAMB,Biology,,,medium,,,"In the diagram, the structures used for offense and defense are labelled",,i and iv,i and ii,ii and iii,iii and iv,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00857,JAMB,Biology,,,medium,,,"In the diagram, Which of the following can be decided from the distribution?",,species II is found only in locations where it rains all year round,species III inreases in number as rainfall increases,the distribution of species IV is not dependent on rainfall,species I thrives under conditions of moderate to high rainfall,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00858,JAMB,Biology,,,medium,,,"In the diagram, the species whose distribution is not affected by rainfall is",,ii,iv,i,iii,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00859,JAMB,Biology,,,medium,,,"In the diagram, the importance of the association to the fungus is that it obtains",,a partner for reproduction,anchorage from the algea,oxygen and carbohydrates from the algae,water and mineral salts from the algae,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00860,JAMB,Biology,,,medium,,,"In the diagram, the association illustrated demonstrates",,parasitism,commensalism,saprophytism,mutualism,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00861,JAMB,Biology,,,medium,,,Use the diagram above to answer this question. The type of protective adaptation exhibited by the animal is,,disruptive colouration,flash colouration,countershading colouration,warning colouration,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00862,JAMB,Biology,,,medium,,,Use the diagram above to answer this question. The structure labelled l is,,photosensitive,radiosensitive,chemoreceptive,tactile,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00863,JAMB,Biology,,,medium,,,Use the diagram above to answer this question.Insulin is produced by the endocrine organ labelled,,IV,III,II,I,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00864,JAMB,Biology,,,medium,,,Use the diagram above to answer this question. The function of the structure labelled l is to,,stimulate the development of secondary sexual characters,prepare the body for any emergency,maintain proper glucose concentration in the blood,regulate the activities of other endocrine glands,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00865,JAMB,Biology,,,medium,,,Use the diagram above to answer this question.Oxygenated blood is pumped to the entire body from the part labelled,,IV,lll,ll,l,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00866,JAMB,Biology,,,medium,,,Use the diagram above to answer this question. The part labelled l is the,,pulmonary artery,vena cava,aorta,bicuspid valve,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00867,JAMB,Biology,,,medium,,,Use the diagram above to answer this question.The part labelled lV is responsible for,,osmoregulation,respiration,ingestion,locomotion,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00868,JAMB,Biology,,,medium,,,Use the diagram above to answer this question. The organelle responsible for sexual reproduction is,,ll,l,lV,lll,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00869,JAMB,Biology,,,medium,,,Use the diagram above to answer this question. The process illustrated is,,gametogenesis,sporulation,sexual reproduction in Spirogyra,sexual reproduction in Rhizopus,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00870,JAMB,Biology,,,medium,,,Use the diagram above to answer this question. The structure labelled l is the,,sporangium,hypha,zygospore,conidiospore,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00871,JAMB,Biology,,,medium,,,"Use the diagram above to answer this question. If the dogs are offspring of a monohybird cross and the gene G for grey head is dominant cross over its allele g, the individual whose genotype is likely to be gg is",,ll,l,IV,lll,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00872,JAMB,Biology,,,medium,,,Use the diagram above to answer this question. Which of the following will be true of dog ll which lost its tail in an accident if it mates with dog lll.,,None of its offspring will be born without a tail,3/4 of its offspring will be born without tails,All its offspring will be born without tails,1/4 of its offspring will be born without tails,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00873,JAMB,Biology,,,medium,,,"In the diagram, it shows that the organisms are?",,hermaphrodite,viviparous,oviparous,ovoviviparous,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00874,JAMB,Biology,,,medium,,,The breeding posture illustrated in the diagram is known as,,mating,amplexus,courtship display,reproductive swimming,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00875,JAMB,Biology,,,medium,,,"In the diagram, the experiment demonstrates",,geotropism,thigmotropism,phototropism,hydrotropism,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00876,JAMB,Biology,,,medium,,,"In the diagram, the part marked I will contain a high concentration of",,ascorbic acid,abscisic acid,ethylene,auxin,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00877,JAMB,Biology,,,medium,,,"In the diagram, the organelle responsible for heredity is",,iii,iv,ii,i,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00878,JAMB,Biology,,,medium,,,"In the diagram, the part labelled I is the",,nuclear membrane,cell wall,endoplasmic recticulum,plasmellema,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00879,JAMB,Biology,,,medium,,,Use the diagram above to answer this question. Which of the organisms is characterised by the possession of a chitinous exoskeleton?,,l,ll,lll,lV,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00880,JAMB,Biology,,,medium,,,Use the diagram above to answer this question.The type of reproduction illustrated in IV is,,sexual,conjugation,binary fission,budding,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00881,JAMB,Biology,,,medium,,,Use the diagram above to answer this question.The vessel that carries blood from l to ll is the,,pulmonary artery,pulmonary vein,carotid artery,jugular vein,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00882,JAMB,Biology,,,medium,,,Use the diagram above to answer this question.Water reabsorption takes place in,,ll and lll,lll and lV,l and IV,l and lll,,,jamb-archive|needs-key|needs-figure,past-question,draft
